,date,open,high,low,close,volume,amount,outstanding_share,turnover,振幅,涨跌幅,涨跌额,股票代码
0,2020-01-02,15.43,15.68,15.37,15.58,15934570.0,765516493.0,1141626029.0,0.013957784419086681,,,,002594
1,2020-01-03,15.59,15.85,15.42,15.54,12993607.0,628361961.0,1141626029.0,0.011381666736682297,2.76,-0.25673940949936247,-0.040000000000000924,002594
2,2020-01-06,15.33,15.91,15.27,15.62,16987138.0,822172473.0,1141626029.0,0.014879774609623937,4.12,0.5148005148005064,0.08000000000000007,002594
3,2020-01-07,15.63,15.69,15.45,15.54,9340058.0,449013436.0,1141626029.0,0.00818136391667713,1.54,-0.5121638924455829,-0.08000000000000007,002594
4,2020-01-08,15.38,15.64,15.25,15.29,11097445.0,529249404.0,1141626029.0,0.009720735790967149,2.51,-1.608751608751613,-0.25,002594
5,2020-01-09,15.45,15.59,15.33,15.41,8921700.0,425352463.0,1141626029.0,0.007814905909087327,1.7,0.7848266841072649,0.120000000000001,002594
6,2020-01-10,15.42,15.42,15.08,15.18,10929463.0,512929719.0,1141626029.0,0.009573593035167211,2.21,-1.4925373134328401,-0.23000000000000043,002594
7,2020-01-13,16.69,16.69,16.34,16.69,51882759.0,2662873915.0,1141626029.0,0.04544637007396053,2.31,9.947299077733863,1.5100000000000016,002594
8,2020-01-14,17.79,18.11,17.14,17.29,61497596.0,3356918725.0,1141626029.0,0.05386842489380557,5.81,3.5949670461354,0.5999999999999979,002594
9,2020-01-15,17.47,17.71,16.91,17.24,29870523.0,1594534514.0,1141626029.0,0.026164893092149356,4.63,-0.28918449971081506,-0.05000000000000071,002594
10,2020-01-16,17.3,17.64,16.75,17.5,33573707.0,1778235678.0,1141626029.0,0.029408673372145058,5.16,1.5081206496519783,0.26000000000000156,002594
11,2020-01-17,17.42,19.25,17.21,18.75,53060038.0,3022542423.0,1141626029.0,0.046477600065301244,11.66,7.14285714285714,1.25,002594
12,2020-01-20,18.54,19.38,18.28,19.01,30077562.0,1742179867.0,1141626029.0,0.02634624757666593,5.87,1.3866666666666694,0.26000000000000156,002594
13,2020-01-21,18.67,18.67,18.29,18.35,20383657.0,1161444871.0,1141626029.0,0.017854933649204666,2.0,-3.4718569174118863,-0.6600000000000001,002594
14,2020-01-22,18.28,19.57,18.15,19.17,32797995.0,1927419434.0,1141626029.0,0.02872919341960799,7.74,4.468664850136239,0.8200000000000003,002594
15,2020-01-23,18.76,20.02,18.6,19.35,29158496.0,1735366428.0,1141626029.0,0.025541197607014267,7.41,0.9389671361502261,0.17999999999999972,002594
16,2020-02-03,17.42,17.62,17.42,17.42,10039800.0,540735186.0,1141626029.0,0.008794298434833602,1.03,-9.974160206718341,-1.9299999999999997,002594
17,2020-02-04,17.47,18.6,17.47,18.23,36777530.0,2057907669.0,1141626029.0,0.03221504158609194,6.49,4.649827784156124,0.8099999999999987,002594
18,2020-02-05,18.66,20.06,18.44,19.67,44623025.0,2698234965.0,1141626029.0,0.03908725262605238,8.89,7.8990674712013265,1.4400000000000013,002594
19,2020-02-06,18.91,19.68,18.89,19.65,30113181.0,1792085753.0,1141626029.0,0.026377447811327014,4.02,-0.10167768174886849,-0.020000000000003126,002594
20,2020-02-07,19.65,19.65,18.33,18.73,32128159.0,1868897083.0,1141626029.0,0.02814245487039434,6.72,-4.681933842239172,-0.9199999999999982,002594
21,2020-02-10,19.15,20.5,19.04,19.71,35279646.0,2143782477.0,1141626029.0,0.03090297970071949,7.79,5.232247730912976,0.9800000000000004,002594
22,2020-02-11,19.41,19.45,18.85,19.1,19617574.0,1162310506.0,1141626029.0,0.01718388815747648,3.04,-3.094875697615418,-0.6099999999999994,002594
23,2020-02-12,19.1,19.6,18.88,19.15,19745556.0,1171671705.0,1141626029.0,0.017295993169756295,3.77,0.2617801047120283,0.04999999999999716,002594
24,2020-02-13,18.92,19.45,18.6,18.62,23694703.0,1387055830.0,1141626029.0,0.020755223162488002,4.44,-2.7676240208877156,-0.5299999999999976,002594
25,2020-02-14,18.62,18.73,18.26,18.41,21117383.0,1205977325.0,1141626029.0,0.01849763623425583,2.52,-1.1278195488721887,-0.21000000000000085,002594
