,date,open,high,low,close,volume,amount,outstanding_share,turnover,振幅,涨跌幅,涨跌额,股票代码
0,2020-01-02,28.35,29.62,28.07,29.22,74984234.0,2530294948.0,8068308735.0,0.009293674357640952,,,,002415
1,2020-01-03,29.22,29.56,29.03,29.45,47900997.0,1630745424.0,8068308735.0,0.00593693158917028,1.81,0.7871321013004806,0.23000000000000043,002415
2,2020-01-06,29.3,30.27,28.92,29.65,58912538.0,2035676279.0,8068308735.0,0.007301720835797937,4.58,0.679117147707986,0.1999999999999993,002415
3,2020-01-07,29.69,30.13,29.45,29.65,31456151.0,1084694852.0,8068308735.0,0.00389872921738164,2.29,0.0,0.0,002415
4,2020-01-08,29.31,29.98,29.22,29.37,36049030.0,1234135900.0,8068308735.0,0.004467978505039198,2.56,-0.9443507588532851,-0.2799999999999976,002415
5,2020-01-09,29.7,29.97,29.41,29.86,37890997.0,1305627478.0,8068308735.0,0.004696275049023642,1.91,1.6683690840994192,0.48999999999999844,002415
6,2020-01-10,29.71,29.87,29.31,29.61,36442765.0,1249566932.0,8068308735.0,0.004516778695132568,1.88,-0.8372404554588098,-0.25,002415
7,2020-01-13,29.95,30.59,29.73,30.36,50855250.0,1785657226.0,8068308735.0,0.006303086764564668,2.9,2.532928064842954,0.75,002415
8,2020-01-14,30.65,30.68,30.03,30.47,37719451.0,1330874954.0,8068308735.0,0.00467501334404502,2.14,0.36231884057971175,0.10999999999999943,002415
9,2020-01-15,30.44,31.89,30.18,31.63,59945960.0,2161517160.0,8068308735.0,0.0074298049280088685,5.61,3.8070233016081367,1.1600000000000001,002415
10,2020-01-16,31.46,31.8,31.16,31.71,45834312.0,1677054394.0,8068436085.0,0.0056806934475456036,2.02,0.25292443882389826,0.08000000000000185,002415
11,2020-01-17,31.28,31.5,30.68,30.74,48021052.0,1732968997.0,8068436085.0,0.005951717469668721,2.59,-3.058971933144128,-0.9700000000000024,002415
12,2020-01-20,30.68,31.6,30.59,31.13,48803321.0,1766903916.0,8089767831.0,0.006032722078003971,3.29,1.2687052700065093,0.39000000000000057,002415
13,2020-01-21,30.74,31.08,30.06,30.15,49215107.0,1734473855.0,8089767831.0,0.006083624156852518,3.28,-3.1480886604561498,-0.9800000000000004,002415
14,2020-01-22,29.99,31.71,29.83,31.55,55418587.0,1993790517.0,8089767831.0,0.006850454568997136,6.24,4.643449419568824,1.4000000000000021,002415
15,2020-01-23,31.03,31.73,30.27,31.03,57062403.0,2057230929.0,8089767831.0,0.0070536515005210415,4.63,-1.648177496038028,-0.5199999999999996,002415
16,2020-02-03,27.92,29.47,27.92,27.98,84232907.0,2796702686.0,8089767831.0,0.010412277429918248,5.0,-9.829197550757328,-3.0500000000000007,002415
17,2020-02-04,28.28,29.55,28.27,29.46,64232348.0,2177880569.0,8089767831.0,0.007939949494454163,4.57,5.2894924946390365,1.4800000000000004,002415
18,2020-02-05,29.56,31.11,29.24,30.25,73555887.0,2591506575.0,8089767831.0,0.009092459578151768,6.35,2.681602172437203,0.7899999999999991,002415
19,2020-02-06,30.26,30.79,29.65,30.59,50035614.0,1761107367.0,8089767831.0,0.006185049440883021,3.77,1.1239669421487575,0.33999999999999986,002415
20,2020-02-07,30.16,30.59,29.72,30.34,46780370.0,1635388478.0,8089767831.0,0.005782659153793952,2.84,-0.8172605426610025,-0.25,002415
21,2020-02-10,30.18,30.29,29.73,30.19,45266143.0,1574848744.0,8089767831.0,0.005595481099783864,1.85,-0.49439683586024463,-0.14999999999999858,002415
22,2020-02-11,30.29,30.9,29.8,30.65,51812994.0,1827309509.0,8089767831.0,0.006404756611364364,3.64,1.5236833388539095,0.4599999999999973,002415
23,2020-02-12,30.51,31.12,30.19,31.03,44368267.0,1579577352.0,8089767831.0,0.005484492006059895,3.03,1.2398042414355714,0.38000000000000256,002415
24,2020-02-13,30.94,31.59,30.69,30.99,45628760.0,1651770270.0,8089767831.0,0.005640305253897465,2.9,-0.128907508862397,-0.0400000000000027,002415
25,2020-02-14,30.8,31.68,30.47,30.8,53712672.0,1933923574.0,8089767831.0,0.0066395813974009215,3.9,-0.61310100032268,-0.18999999999999773,002415
26,2020-02-17,30.68,32.09,30.68,32.02,66087167.0,2414717646.0,8089767831.0,0.008169229127534896,4.58,3.961038961038965,1.2200000000000024,002415
27,2020-02-18,31.96,31.96,31.25,31.74,51012126.0,1870151058.0,8089767831.0,0.006305758961897704,2.22,-0.8744534665834025,-0.2800000000000047,002415
28,2020-02-19,31.81,33.19,31.52,32.9,98280870.0,3695422705.0,8089767831.0,0.01214878746252613,5.26,3.6546943919344654,1.1600000000000001,002415
29,2020-02-20,32.76,33.72,32.66,33.43,69039830.0,2663056805.0,8089767831.0,0.008534216487083756,3.22,1.6109422492401215,0.5300000000000011,002415
30,2020-02-21,33.43,34.55,33.23,33.96,82072444.0,3246530781.0,8089767831.0,0.0101452162428566,3.95,1.585402333233632,0.5300000000000011,002415
31,2020-02-24,33.61,34.12,33.19,33.65,61297406.0,2395026124.0,8089767831.0,0.007577152679846789,2.74,-0.9128386336866967,-0.3100000000000023,002415
32,2020-02-25,32.74,33.27,31.88,33.05,75762316.0,2879413897.0,8089767831.0,0.009365202757695803,4.13,-1.7830609212481474,-0.6000000000000014,002415
33,2020-02-26,32.55,32.87,31.67,31.8,68380553.0,2546204277.0,8089767831.0,0.008452721317658294,3.63,-3.782148260211793,-1.2499999999999964,002415
34,2020-02-27,31.97,32.4,31.2,31.71,51660450.0,1904767745.0,8089767831.0,0.006385900198771724,3.77,-0.2830188679245227,-0.08999999999999986,002415
35,2020-02-28,30.85,31.63,30.06,30.16,65868848.0,2346742292.0,8089767831.0,0.008142242073695922,4.95,-4.888047934405549,-1.5500000000000007,002415
36,2020-03-02,30.15,31.18,29.57,30.68,94881087.0,3346843897.0,8089767831.0,0.011728530284443463,5.34,1.724137931034475,0.5199999999999996,002415
37,2020-03-03,31.2,31.84,30.59,30.9,79589910.0,2886939647.0,8089767831.0,0.009838342912019226,4.07,0.7170795306388422,0.21999999999999886,002415
38,2020-03-04,30.59,30.87,29.99,30.62,59433860.0,2095559249.0,8089767831.0,0.0073467942766230416,2.85,-0.9061488673139051,-0.2799999999999976,002415
39,2020-03-05,31.33,31.46,30.46,31.18,59922386.0,2152390761.0,8089767831.0,0.007407182412624667,3.27,1.8288700195950414,0.5599999999999987,002415
40,2020-03-06,30.77,30.91,30.23,30.35,48267285.0,1709746673.0,8089767831.0,0.005966461091137833,2.18,-2.6619627966645187,-0.8299999999999983,002415
41,2020-03-09,29.89,29.9,28.78,28.85,82420136.0,2795943336.0,8089767831.0,0.010188195473813963,3.69,-4.94233937397035,-1.5,002415
42,2020-03-10,28.45,29.79,28.45,29.65,58991116.0,1994628076.0,8089767831.0,0.007292065388322514,4.64,2.772963604852685,0.7999999999999972,002415
43,2020-03-11,29.95,29.95,29.13,29.18,40146751.0,1369682038.0,8089767831.0,0.004962657994480089,2.77,-1.585160202360869,-0.46999999999999886,002415
44,2020-03-12,28.61,28.77,28.22,28.34,47642899.0,1572588732.0,8089767831.0,0.005889278900864417,1.88,-2.878684030157641,-0.8399999999999999,002415
45,2020-03-13,27.15,28.01,26.01,27.61,71395197.0,2246520554.0,8089767831.0,0.008825370330952332,7.06,-2.5758645024700044,-0.7300000000000004,002415
46,2020-03-16,27.73,27.75,25.75,25.94,74118273.0,2287783002.0,8089767831.0,0.009161977766034111,7.24,-6.048533140166601,-1.6699999999999982,002415
47,2020-03-17,25.91,26.37,24.05,25.01,92341873.0,2682843163.0,8089767831.0,0.011414650572065348,8.94,-3.585196607555896,-0.9299999999999997,002415
48,2020-03-18,25.34,26.11,24.99,24.99,70173265.0,2087429742.0,8089767831.0,0.008674323721763183,4.48,-0.0799680127948954,-0.020000000000003126,002415
49,2020-03-19,24.99,25.25,23.92,25.02,77980475.0,2230432957.0,8089767831.0,0.009639395917047053,5.32,0.12004801920768582,0.030000000000001137,002415
50,2020-03-20,25.5,25.65,24.64,25.06,57683610.0,1675295749.0,8089767831.0,0.007130440725252502,4.04,0.1598721023181371,0.03999999999999915,002415
51,2020-03-23,24.15,24.29,23.42,23.42,68195852.0,1882167393.0,8089767831.0,0.008429889883696466,3.47,-6.5442936951316755,-1.639999999999997,002415
52,2020-03-24,24.34,24.35,23.27,23.99,60833126.0,1677744379.0,8089767831.0,0.007519761663231841,4.61,2.433817250213477,0.5699999999999967,002415
53,2020-03-25,24.71,25.21,24.62,24.86,62753459.0,1811433941.0,8089767831.0,0.007757139674581101,2.46,3.6265110462692762,0.870000000000001,002415
54,2020-03-26,24.86,24.86,24.25,24.41,42842226.0,1220961248.0,8089767831.0,0.0052958535887554815,2.45,-1.81013676588897,-0.4499999999999993,002415
55,2020-03-27,24.91,24.94,24.38,24.48,44708295.0,1278946202.0,8089767831.0,0.005526523867431369,2.29,0.28676771814830637,0.07000000000000028,002415
56,2020-03-30,23.96,23.96,23.32,23.68,53486792.0,1462659311.0,8089767831.0,0.006611659706109062,2.61,-3.26797385620915,-0.8000000000000007,002415
