date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-01-02,000333,44.31,45.4,45.54,44.06,346226,2050141328.0,3.37,3.42,1.5,0.51
2020-01-03,000333,45.55,43.91,45.61,43.83,270043,1587220592.0,3.92,-3.28,-1.49,0.4
2020-01-06,000333,43.45,42.85,43.85,41.65,288425,1656276944.0,5.01,-2.41,-1.06,0.42
2020-01-07,000333,43.05,43.7,43.86,42.85,225265,1304633776.0,2.36,1.98,0.85,0.33
2020-01-08,000333,43.16,43.93,44.63,43.02,253210,1471083456.0,3.68,0.53,0.23,0.37
2020-01-09,000333,44.45,45.1,45.38,44.15,296354,1757281376.0,2.8,2.66,1.17,0.44
2020-01-10,000333,45.62,45.64,46.14,45.1,280706,1683152336.0,2.31,1.2,0.54,0.41
2020-01-13,000333,46.15,45.76,46.31,45.15,279512,1678723648.0,2.54,0.26,0.12,0.41
2020-01-14,000333,46.15,45.53,46.45,45.37,162500,976486528.0,2.36,-0.5,-0.23,0.24
2020-01-15,000333,45.55,45.15,45.65,44.53,214900,1272651584.0,2.46,-0.83,-0.38,0.32
2020-01-16,000333,45.65,45.31,45.71,44.88,199814,1192330864.0,1.84,0.35,0.16,0.29
2020-01-17,000333,45.64,45.96,46.65,45.14,217133,1312054704.0,3.33,1.43,0.65,0.32
2020-01-20,000333,46.45,45.85,46.61,45.48,201911,1217493008.0,2.46,-0.24,-0.11,0.3
2020-01-21,000333,45.35,43.75,45.41,43.68,276432,1617441936.0,3.77,-4.58,-2.1,0.41
2020-01-22,000333,43.17,43.13,43.61,41.65,411606,2335993232.0,4.48,-1.42,-0.62,0.6
2020-01-23,000333,41.75,40.75,42.39,40.65,596537,3313820976.0,4.03,-5.52,-2.38,0.88
2020-02-03,000333,35.24,35.84,38.24,35.24,705067,3565939360.0,7.36,-12.05,-4.91,1.04
2020-02-04,000333,35.95,38.44,38.47,35.95,404131,2097010016.0,7.03,7.25,2.6,0.59
2020-02-05,000333,38.57,38.52,39.12,38.1,348950,1848774208.0,2.65,0.21,0.08,0.51
2020-02-06,000333,38.52,39.44,39.61,38.01,393668,2086495952.0,4.15,2.39,0.92,0.58
2020-02-07,000333,39.15,38.48,39.18,37.85,344090,1811882960.0,3.37,-2.43,-0.96,0.51
2020-02-10,000333,37.95,37.95,38.43,37.37,346048,1804543408.0,2.75,-1.38,-0.53,0.51
2020-02-11,000333,38.84,40.33,40.64,38.45,493882,2684341232.0,5.77,6.27,2.38,0.72
2020-02-12,000333,40.22,40.54,41.01,39.67,234338,1284759456.0,3.32,0.52,0.21,0.34
2020-02-13,000333,40.21,39.45,40.23,39.15,319307,1723256896.0,2.66,-2.69,-1.09,0.47
2020-02-14,000333,39.15,39.39,39.61,38.83,210044,1125281552.0,1.98,-0.15,-0.06,0.31
2020-02-17,000333,38.99,40.05,40.07,38.89,325053,1751927712.0,3.0,1.68,0.66,0.48
2020-02-18,000333,40.05,39.18,40.05,38.97,332035,1783036928.0,2.7,-2.17,-0.87,0.49
2020-02-19,000333,39.01,39.19,39.52,38.82,237329,1270519680.0,1.79,0.03,0.01,0.35
2020-02-20,000333,39.35,40.51,40.63,38.97,370412,2013322144.0,4.24,3.37,1.32,0.54
2020-02-21,000333,40.15,39.93,40.47,39.67,297799,1616397376.0,1.97,-1.43,-0.58,0.44
2020-02-24,000333,41.01,40.56,41.02,40.1,407824,2243496144.0,2.3,1.58,0.63,0.6
2020-02-25,000333,39.65,40.08,40.11,39.45,315462,1706738496.0,1.63,-1.18,-0.48,0.46
2020-02-26,000333,39.35,39.95,40.97,38.86,387240,2107804640.0,5.26,-0.32,-0.13,0.57
2020-02-27,000333,39.95,40.56,40.85,39.86,284935,1563743472.0,2.48,1.53,0.61,0.42
2020-02-28,000333,39.53,38.7,39.83,38.44,334057,1788324816.0,3.43,-4.59,-1.86,0.49
2020-03-02,000333,38.7,39.99,40.4,38.7,318934,1725854576.0,4.39,3.33,1.29,0.47
2020-03-03,000333,40.16,40.15,40.65,39.62,264999,1441435072.0,2.58,0.4,0.16,0.39
2020-03-04,000333,39.65,39.9,40.09,39.26,239084,1290728832.0,2.07,-0.62,-0.25,0.35
2020-03-05,000333,40.2,42.19,42.45,40.0,575718,3214972960.0,6.14,5.74,2.29,0.84
2020-03-06,000333,41.47,41.45,41.95,41.19,280243,1565438000.0,1.8,-1.75,-0.74,0.41
2020-03-09,000333,40.05,39.54,40.12,39.46,356343,1925269104.0,1.59,-4.61,-1.91,0.52
2020-03-10,000333,39.54,40.97,41.33,39.54,375632,2061033024.0,4.53,3.62,1.43,0.55
2020-03-11,000333,40.77,40.12,40.97,40.11,192607,1053884400.0,2.1,-2.07,-0.85,0.28
2020-03-12,000333,39.5,38.82,39.52,38.53,344055,1833239648.0,2.47,-3.24,-1.3,0.5
2020-03-13,000333,36.52,37.55,38.61,35.72,452084,2323212176.0,7.44,-3.27,-1.27,0.66
2020-03-16,000333,37.85,35.75,37.92,35.65,396679,2019157776.0,6.05,-4.79,-1.8,0.58
2020-03-17,000333,35.27,34.65,36.95,34.22,477082,2365286576.0,7.64,-3.08,-1.1,0.7
2020-03-18,000333,35.35,35.35,37.54,35.23,586059,2974941632.0,6.67,2.02,0.7,0.86
2020-03-19,000333,36.0,34.25,36.25,33.15,554869,2708244368.0,8.77,-3.11,-1.1,0.81
2020-03-20,000333,34.9,34.7,35.38,34.15,367067,1803574240.0,3.59,1.31,0.45,0.54
2020-03-23,000333,33.15,32.15,33.63,31.95,477036,2237270208.0,4.84,-7.35,-2.55,0.7
2020-03-24,000333,33.0,33.64,33.9,32.56,419576,2000208160.0,4.17,4.63,1.49,0.61
2020-03-25,000333,35.15,35.14,35.81,34.51,390113,1934918464.0,3.86,4.46,1.5,0.57
2020-03-26,000333,35.05,34.65,35.42,34.49,232484,1145809968.0,2.65,-1.39,-0.49,0.34
2020-03-27,000333,35.65,35.1,36.1,35.03,260154,1296483248.0,3.09,1.3,0.45,0.38
2020-03-30,000333,34.45,33.74,34.45,33.15,370522,1778812496.0,3.7,-3.87,-1.36,0.54
2020-03-31,000333,34.41,34.07,35.0,33.99,225253,1098690176.0,2.99,0.98,0.33,0.33
2020-04-01,000333,34.6,34.23,34.97,33.7,234391,1141225440.0,3.73,0.47,0.16,0.34
2020-04-02,000333,33.82,34.61,34.65,33.45,235144,1135456592.0,3.51,1.11,0.38,0.34
2020-04-03,000333,34.45,34.03,34.71,33.86,196382,953656656.0,2.46,-1.68,-0.58,0.29
2020-04-07,000333,34.86,34.62,35.05,34.35,400486,1962977184.0,2.06,1.73,0.59,0.59
2020-04-08,000333,34.25,33.89,34.38,33.71,244268,1182191600.0,1.94,-2.11,-0.73,0.36
2020-04-09,000333,34.17,33.95,34.2,33.76,171399,828409216.0,1.3,0.18,0.06,0.25
2020-04-10,000333,33.95,34.93,36.21,33.69,412461,2043406848.0,7.42,2.89,0.98,0.6
2020-04-13,000333,35.24,35.54,36.23,34.95,310765,1555138944.0,3.66,1.75,0.61,0.46
2020-04-14,000333,36.32,36.13,36.35,35.25,307942,1550039696.0,3.1,1.66,0.59,0.45
2020-04-15,000333,35.65,35.85,36.93,34.85,395915,1989237120.0,5.76,-0.77,-0.28,0.58
2020-04-16,000333,35.85,35.14,35.85,34.92,279294,1385041872.0,2.59,-1.98,-0.71,0.41
2020-04-17,000333,35.65,35.74,35.96,35.25,352499,1761719072.0,2.02,1.71,0.6,0.52
2020-04-20,000333,35.94,36.38,36.63,35.66,208857,1058635856.0,2.71,1.79,0.64,0.31
2020-04-21,000333,36.64,35.9,36.65,35.65,209713,1056179840.0,2.75,-1.32,-0.48,0.31
2020-04-22,000333,35.85,37.05,37.12,35.64,207637,1056618272.0,4.12,3.2,1.15,0.3
2020-04-23,000333,37.34,37.64,38.04,36.96,271166,1408264464.0,2.91,1.59,0.59,0.4
2020-04-24,000333,37.69,37.66,37.95,37.36,133416,693211312.0,1.57,0.05,0.02,0.2
2020-04-27,000333,36.92,37.15,37.89,36.5,215235,1108515152.0,3.69,-1.35,-0.51,0.32
2020-04-28,000333,37.15,37.44,37.59,36.4,251835,1297098144.0,3.2,0.78,0.29,0.37
2020-04-29,000333,37.05,37.9,38.42,36.8,206235,1072765104.0,4.33,1.23,0.46,0.3
2020-04-30,000333,38.95,39.4,39.81,38.95,340323,1831860880.0,2.27,3.96,1.5,0.5
2020-05-06,000333,38.65,39.85,39.85,38.35,328565,1765766096.0,3.81,1.14,0.45,0.48
2020-05-07,000333,39.84,39.65,40.1,39.49,213755,1156808784.0,1.53,-0.5,-0.2,0.31
2020-05-08,000333,40.13,41.98,42.13,39.88,409621,2296022240.0,5.67,5.88,2.33,0.6
2020-05-11,000333,42.24,42.56,44.15,42.07,379598,2188821584.0,4.95,1.38,0.58,0.56
2020-05-12,000333,43.15,43.65,44.03,42.68,286034,1655218896.0,3.17,2.56,1.09,0.42
2020-05-13,000333,43.25,43.4,43.65,42.56,219386,1260866624.0,2.5,-0.57,-0.25,0.32
2020-05-14,000333,43.4,43.65,43.95,43.16,180020,1044096208.0,1.82,0.58,0.25,0.26
2020-05-15,000333,43.65,42.6,43.75,42.52,233617,1338687936.0,2.82,-2.41,-1.05,0.34
2020-05-18,000333,43.15,43.14,43.85,42.28,261775,1505218944.0,3.69,1.27,0.54,0.38
2020-05-19,000333,44.05,44.41,44.85,43.65,278551,1638536816.0,2.78,2.94,1.27,0.41
2020-05-20,000333,44.18,44.68,44.75,44.17,190615,1123661200.0,1.31,0.61,0.27,0.28
2020-05-21,000333,45.2,44.37,45.29,44.01,149135,876854208.0,2.86,-0.69,-0.31,0.22
2020-05-22,000333,44.09,42.77,44.2,42.26,260862,1493147024.0,4.37,-3.61,-1.6,0.38
2020-05-25,000333,43.95,42.49,44.04,41.79,159445,905625792.0,5.26,-0.65,-0.28,0.23
2020-05-26,000333,42.95,43.65,43.9,42.42,184308,1061005408.0,3.48,2.73,1.16,0.27
2020-05-27,000333,43.9,43.9,45.03,43.54,258065,1517718672.0,3.41,0.57,0.25,0.38
2020-05-28,000333,44.82,43.8,45.02,43.48,206031,1207714976.0,3.51,-0.23,-0.1,0.3
2020-05-29,000333,43.64,44.67,44.9,43.64,182549,1073961440.0,2.88,1.99,0.87,0.27
2020-06-01,000333,44.95,46.07,46.13,44.95,294803,1776563600.0,2.64,3.13,1.4,0.43
2020-06-02,000333,46.91,45.95,46.91,45.8,206805,1218477904.0,2.41,-0.26,-0.12,0.3
2020-06-03,000333,46.4,45.58,46.62,45.16,180929,1059003040.0,3.18,-0.81,-0.37,0.27
2020-06-04,000333,46.1,46.1,47.15,45.96,140258,827157600.0,2.61,1.14,0.52,0.21
2020-06-05,000333,46.24,46.2,46.43,45.85,127259,749286688.0,1.26,0.22,0.1,0.19
2020-06-08,000333,46.65,47.41,48.81,46.28,359440,2180630896.0,5.48,2.62,1.21,0.53
2020-06-09,000333,47.8,47.91,48.68,47.53,240135,1463794176.0,2.43,1.05,0.5,0.35
2020-06-10,000333,48.33,47.57,48.46,47.43,190148,1153412208.0,2.15,-0.71,-0.34,0.28
2020-06-11,000333,47.6,46.91,47.86,46.35,201377,1204181856.0,3.17,-1.39,-0.66,0.29
