date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-01-02,601888,82.04,83.08,83.71,82.03,73491,661588544.0,2.05,1.34,1.1,0.38
2020-01-03,601888,84.03,84.01,84.25,83.02,70271,638071696.0,1.48,1.12,0.93,0.36
2020-01-06,601888,83.25,83.03,84.94,82.53,68575,622208272.0,2.87,-1.17,-0.98,0.35
2020-01-07,601888,83.77,83.94,84.91,83.75,55209,503235904.0,1.4,1.1,0.91,0.28
2020-01-08,601888,83.08,84.33,84.91,82.71,70121,638936096.0,2.62,0.46,0.39,0.36
2020-01-09,601888,85.02,87.03,87.75,84.91,88168,828397792.0,3.37,3.2,2.7,0.45
2020-01-10,601888,88.21,87.37,88.21,87.08,56160,530632624.0,1.3,0.39,0.34,0.29
2020-01-13,601888,84.03,84.03,85.76,83.13,205280,1869588784.0,3.01,-3.82,-3.34,1.05
2020-01-14,601888,84.83,81.87,84.98,81.34,144294,1290106624.0,4.33,-2.57,-2.16,0.74
2020-01-15,601888,81.87,82.39,82.62,81.44,64137,571498448.0,1.44,0.64,0.52,0.33
2020-01-16,601888,82.84,83.42,83.86,81.95,69959,631389472.0,2.32,1.25,1.03,0.36
2020-01-17,601888,83.87,82.88,84.33,82.34,67500,607820896.0,2.39,-0.65,-0.54,0.35
2020-01-20,601888,83.18,79.93,83.33,78.18,209409,1818156992.0,6.21,-3.56,-2.95,1.07
2020-01-21,601888,78.71,76.78,78.71,76.03,232072,1956222672.0,3.35,-3.94,-3.15,1.19
2020-01-22,601888,76.03,77.61,78.39,75.64,123340,1037811856.0,3.58,1.08,0.83,0.63
2020-01-23,601888,76.03,75.03,76.56,73.43,248092,2029471152.0,4.03,-3.32,-2.58,1.27
2020-02-03,601888,66.83,66.83,66.83,66.83,202001,1490767376.0,0.0,-10.93,-8.2,1.03
2020-02-04,601888,66.83,68.11,69.83,66.53,308470,2303948960.0,4.94,1.92,1.28,1.58
2020-02-05,601888,70.73,70.81,71.5,69.17,259336,2003658816.0,3.42,3.96,2.7,1.33
2020-02-06,601888,71.93,73.83,73.83,71.25,202306,1600933904.0,3.64,4.26,3.02,1.04
2020-02-07,601888,73.3,73.23,73.63,71.31,173477,1375231984.0,3.14,-0.81,-0.6,0.89
2020-02-10,601888,72.53,72.03,73.31,71.54,134697,1067957920.0,2.42,-1.64,-1.2,0.69
2020-02-11,601888,72.55,73.08,73.43,72.0,137076,1092564608.0,1.99,1.46,1.05,0.7
2020-02-12,601888,73.03,73.43,73.75,72.53,91287,732737056.0,1.67,0.48,0.35,0.47
2020-02-13,601888,73.51,72.19,73.51,71.73,127488,1009948944.0,2.42,-1.69,-1.24,0.65
2020-02-14,601888,71.65,73.97,74.46,71.65,131659,1060223344.0,3.89,2.47,1.78,0.67
2020-02-17,601888,73.97,74.28,74.84,73.8,143154,1163417808.0,1.41,0.42,0.31,0.73
2020-02-18,601888,74.33,73.23,74.63,72.63,131840,1059153936.0,2.69,-1.41,-1.05,0.68
2020-02-19,601888,72.78,76.34,76.45,72.44,182784,1497985440.0,5.48,4.25,3.11,0.94
2020-02-20,601888,77.87,78.83,79.86,77.63,226742,1937098352.0,2.92,3.26,2.49,1.16
2020-02-21,601888,78.75,78.1,79.23,77.52,115521,984310576.0,2.17,-0.93,-0.73,0.59
2020-02-24,601888,76.63,76.0,78.1,75.76,170001,1422738800.0,3.0,-2.69,-2.1,0.87
2020-02-25,601888,74.99,74.87,75.01,73.8,127635,1040408368.0,1.59,-1.49,-1.13,0.65
2020-02-26,601888,73.91,73.23,74.31,72.86,147424,1186768032.0,1.94,-2.19,-1.64,0.76
2020-02-27,601888,73.61,73.48,75.04,73.03,166171,1345307264.0,2.74,0.34,0.25,0.85
2020-02-28,601888,69.46,71.53,73.03,69.46,174422,1359287664.0,4.86,-2.65,-1.95,0.89
2020-03-02,601888,71.08,71.42,72.3,69.91,141897,1113261952.0,3.34,-0.15,-0.11,0.73
2020-03-03,601888,72.53,72.2,73.01,71.42,142905,1130769280.0,2.23,1.09,0.78,0.73
2020-03-04,601888,72.2,72.09,72.83,70.7,113275,891765600.0,2.95,-0.15,-0.11,0.58
2020-03-05,601888,72.93,77.14,77.86,72.93,258301,2137294448.0,6.84,7.01,5.05,1.32
2020-03-06,601888,76.13,76.3,77.63,75.73,122065,1019853488.0,2.46,-1.09,-0.84,0.63
2020-03-09,601888,74.63,72.16,74.63,71.37,188819,1497980880.0,4.27,-5.43,-4.14,0.97
2020-03-10,601888,72.03,74.51,75.91,71.65,115435,934642048.0,5.9,3.26,2.35,0.59
2020-03-11,601888,74.15,75.69,77.83,73.15,183675,1518985584.0,6.28,1.58,1.18,0.94
2020-03-12,601888,74.01,72.11,74.61,71.91,140499,1121514480.0,3.57,-4.73,-3.58,0.72
2020-03-13,601888,68.03,76.62,77.53,68.03,287941,2321040944.0,13.17,6.25,4.51,1.47
2020-03-16,601888,75.53,70.83,75.62,70.83,203655,1629645712.0,6.25,-7.56,-5.79,1.04
2020-03-17,601888,70.78,70.25,72.93,67.83,119813,924176832.0,7.2,-0.82,-0.58,0.61
2020-03-18,601888,70.73,68.41,71.32,67.15,126317,966255360.0,5.94,-2.62,-1.84,0.65
2020-03-19,601888,66.89,64.95,69.02,63.09,157135,1133991376.0,8.67,-5.06,-3.46,0.8
2020-03-20,601888,66.31,68.63,69.53,65.83,161599,1208841408.0,5.7,5.67,3.68,0.83
2020-03-23,601888,66.18,65.18,67.63,64.53,120420,872219104.0,4.52,-5.03,-3.45,0.62
2020-03-24,601888,66.53,66.3,68.88,65.16,131747,968756448.0,5.71,1.72,1.12,0.67
2020-03-25,601888,68.83,67.83,69.31,65.23,260637,1935453584.0,6.15,2.31,1.53,1.33
2020-03-26,601888,66.15,65.93,67.17,65.41,135378,990551824.0,2.59,-2.8,-1.9,0.69
2020-03-27,601888,66.65,65.45,66.73,65.08,100273,729344032.0,2.5,-0.73,-0.48,0.51
2020-03-30,601888,64.03,60.98,64.3,59.53,240120,1629242864.0,7.29,-6.83,-4.47,1.23
2020-03-31,601888,61.6,60.23,61.6,60.2,111436,754359520.0,2.3,-1.23,-0.75,0.57
2020-04-01,601888,60.28,61.56,63.27,60.05,135308,934069200.0,5.35,2.21,1.33,0.69
2020-04-02,601888,61.53,64.86,65.03,61.14,124682,878208512.0,6.32,5.36,3.3,0.64
2020-04-03,601888,64.98,65.66,67.44,64.86,121980,893666832.0,3.98,1.23,0.8,0.62
2020-04-07,601888,68.33,68.58,69.01,67.65,183501,1383363744.0,2.07,4.45,2.92,0.94
2020-04-08,601888,67.68,68.65,70.47,67.67,115076,876968080.0,4.08,0.1,0.07,0.59
2020-04-09,601888,69.1,70.53,70.71,68.38,75962,583268880.0,3.39,2.74,1.88,0.39
2020-04-10,601888,70.23,70.35,72.87,69.6,76182,595023168.0,4.64,-0.26,-0.18,0.39
2020-04-13,601888,69.53,71.46,71.98,69.44,75413,588396704.0,3.61,1.58,1.11,0.39
2020-04-14,601888,72.03,72.42,72.57,70.75,131620,1036029760.0,2.55,1.34,0.96,0.67
2020-04-15,601888,72.38,69.63,72.38,68.63,121155,929312640.0,5.18,-3.85,-2.79,0.62
2020-04-16,601888,68.88,70.03,70.33,68.59,71206,544862096.0,2.5,0.57,0.4,0.36
2020-04-17,601888,72.03,74.33,75.6,72.03,193457,1573014752.0,5.1,6.14,4.3,0.99
2020-04-20,601888,75.21,75.83,76.72,73.4,142136,1171848704.0,4.47,2.02,1.5,0.73
2020-04-21,601888,76.02,75.25,76.31,73.88,94106,770930080.0,3.2,-0.76,-0.58,0.48
2020-04-22,601888,76.31,78.95,79.38,75.58,211734,1795291312.0,5.05,4.92,3.7,1.08
2020-04-23,601888,81.53,79.59,82.03,78.83,157356,1371769760.0,4.05,0.81,0.64,0.81
2020-04-24,601888,79.42,80.72,81.78,79.42,98170,862546464.0,2.97,1.42,1.13,0.5
2020-04-27,601888,80.89,79.43,81.39,78.57,91161,790048336.0,3.49,-1.6,-1.29,0.47
2020-04-28,601888,78.94,82.65,83.63,78.61,144491,1277349344.0,6.32,4.05,3.22,0.74
2020-04-29,601888,82.37,83.33,84.83,82.37,101543,924140288.0,2.98,0.82,0.68,0.52
2020-04-30,601888,83.63,84.33,86.82,82.03,98585,902860672.0,5.75,1.2,1.0,0.5
2020-05-06,601888,82.53,83.28,84.47,82.33,159248,1440042528.0,2.54,-1.25,-1.05,0.82
2020-05-07,601888,83.47,84.23,84.47,82.14,73743,668242832.0,2.8,1.14,0.95,0.38
2020-05-08,601888,86.03,85.71,86.63,84.25,78600,728679392.0,2.83,1.76,1.48,0.4
2020-05-11,601888,85.91,81.93,86.52,81.69,143757,1295563616.0,5.64,-4.41,-3.78,0.74
2020-05-12,601888,82.87,83.47,84.83,82.72,129353,1172005456.0,2.58,1.88,1.54,0.66
2020-05-13,601888,83.53,83.02,84.21,82.53,68164,614451856.0,2.01,-0.54,-0.45,0.35
2020-05-14,601888,82.15,81.88,82.83,81.53,62146,553480368.0,1.57,-1.37,-1.14,0.32
2020-05-15,601888,82.32,80.6,82.77,80.39,90573,797709808.0,2.91,-1.56,-1.28,0.46
2020-05-18,601888,80.92,80.53,81.73,80.51,73919,649928960.0,1.51,-0.09,-0.07,0.38
2020-05-19,601888,81.73,82.43,84.44,81.23,128089,1156034288.0,3.99,2.36,1.9,0.66
2020-05-20,601888,82.41,80.69,83.68,80.39,87943,779961440.0,3.99,-2.11,-1.74,0.45
2020-05-21,601888,81.53,80.81,81.85,80.08,80926,711711776.0,2.19,0.15,0.12,0.41
2020-05-22,601888,81.04,79.2,81.93,78.57,125278,1084653520.0,4.16,-1.99,-1.61,0.64
2020-05-25,601888,79.81,81.82,82.97,78.93,110381,976285696.0,5.1,3.31,2.62,0.57
2020-05-26,601888,82.91,89.05,89.9,82.85,183132,1723349776.0,8.62,8.84,7.23,0.94
